Roll,Name,Salary,Gender
990001,Hari,5269.6155671349,Male
990002,Ram,174.92190214250303,Male
990003,Hari,9313.357803222532,Male
990004,Gopal,9575.7890929821,Male
990005,Gopal,9745.50983674889,Male
990006,Hari,8194.997037237075,Male
990007,Shyam,3166.534143869907,Male
990008,Sita,5198.634464455033,Female
990009,Sita,1396.1539379983478,Female
990010,Gopal,6434.470474176386,Male
990011,Hari,9028.921907233977,Male
990012,Hari,6.35261094656836,Male
990013,Sita,8255.279333635319,Female
990014,Shyam,5150.403758719149,Male
990015,Hari,8194.58610189268,Male
990016,Sita,7033.4774097865575,Female
990017,Hari,4730.482938066552,Male
990018,Sita,6904.55750615767,Female
990019,Hari,6401.532991245294,Male
990020,Hari,96.90433570209711,Male
990021,Ram,298.51215330245265,Male
990022,Shyam,9769.419933344872,Male
990023,Sita,5195.813296965312,Female
990024,Ram,5481.812143155557,Male
990025,Gopal,5212.134680602165,Male
990026,Ram,6388.538362422801,Male
990027,Ram,322.72533989076146,Male
990028,Sita,7960.173224102743,Female
990029,Sita,4203.596182133191,Female
990030,Sita,2331.403250162501,Female
990031,Sita,9608.115301703678,Female
990032,Hari,2356.757381758735,Male
990033,Gopal,6401.590383913882,Male
990034,Sita,2628.5819225920072,Female
990035,Sita,1450.5236885430384,Female
990036,Sita,486.8926566428611,Female
990037,Hari,9211.628709406925,Male
990038,Gopal,2944.9101115129606,Male
990039,Gopal,6885.984597384726,Male
990040,Shyam,4158.048264410265,Male
990041,Gopal,9216.758314503048,Male
990042,Shyam,3277.31227346883,Male
990043,Hari,2365.088811183824,Male
990044,Gopal,1435.8230654550052,Male
990045,Shyam,1916.8128293192167,Male
990046,Gopal,8324.22532589376,Male
990047,Hari,7961.945016740249,Male
990048,Hari,6314.356492381039,Male
990049,Gopal,8085.342090684706,Male
990050,Ram,5936.368449962714,Male
990051,Shyam,3656.5009430321415,Male
990052,Hari,3094.985005887427,Male
990053,Ram,6050.872606178767,Male
990054,Hari,6032.735343827916,Male
990055,Hari,238.64294781672731,Male
990056,Shyam,9166.9445862042,Male
